Period,N,LossOptimal,SelectedAIC,LossAIC,SelectedCV,LossCV,SelectedACV,LossACV,LossRelGainAIC,LossRelGainCV
Yearly,23000,6.489,0.513,7.186,0.528,7.096,0.526,7.089,-13.9***,-1.2   
,,(0.056),(0.003),(0.065),(0.003),(0.063),(0.003),(0.062),,
Quarterly,24000,5.602,0.484,6.198,0.548,6.007,0.551,6.002,-32.8***,-1.0   
,,(0.055),(0.003),(0.061),(0.003),(0.059),(0.003),(0.059),,
Monthly,48000,6.513,0.525,6.944,0.578,6.858,0.585,6.852,-21.3***,-1.7   
,,(0.043),(0.002),(0.046),(0.002),(0.045),(0.002),(0.045),,
Weekly,359,5.033,0.616,5.162,0.526,5.245,0.577,5.229,52.1   ,-7.3   
,,(0.298),(0.026),(0.303),(0.026),(0.316),(0.026),(0.316),,
Daily,4227,1.013,0.516,1.052,0.522,1.030,0.509,1.031,-53.6***,4.4*  
,,(0.027),(0.008),(0.031),(0.008),(0.028),(0.008),(0.028),,
Hourly,414,6.765,0.551,9.261,0.804,6.911,0.819,6.869,-95.9***,-28.9   
,,(0.443),(0.024),(0.655),(0.020),(0.452),(0.019),(0.450),,
All,100000,6.052,0.512,6.575,0.558,6.456,0.561,6.451,-23.7***,-1.4*  
,,(0.028),(0.002),(0.031),(0.002),(0.030),(0.002),(0.030),,
