Period,Trending,Seasonal,N,MSECV1,MSEACV1,ratio1,MSECV2,MSEACV2,ratio2
Yearly,,,23000,48.68,41.47,-14.8***,57.05,51.37,-10.0***
,,,,(1.65),(1.49),,(2.42),(2.38),
,F,F,2214,139.93,126.41,-9.7***,194.26,187.93,-3.3   
,,,,(10.60),(10.27),,(16.17),(16.36),
,F,T,267,20.22,19.86,-1.8   ,24.08,23.84,-1.0   
,,,,(5.49),(5.43),,(6.22),(5.76),
,T,F,15076,49.62,41.06,-17.3***,54.29,46.57,-14.2***
,,,,(1.92),(1.65),,(2.74),(2.63),
,T,T,5443,10.35,9.12,-11.9** ,10.51,10.44,-0.7   
,,,,(0.90),(0.81),,(1.38),(1.37),
Quarterly,,,24000,28.70,24.18,-15.8***,33.87,29.30,-13.5***
,,,,(1.16),(0.97),,(1.41),(1.22),
,F,F,1561,92.17,78.02,-15.4** ,101.50,81.68,-19.5***
,,,,(8.96),(7.75),,(9.51),(7.78),
,F,T,681,65.29,49.90,-23.6   ,90.95,81.41,-10.5   
,,,,(14.91),(8.83),,(16.93),(14.93),
,T,F,14115,26.34,21.68,-17.7***,29.50,25.23,-14.5***
,,,,(1.32),(1.09),,(1.49),(1.18),
,T,T,7643,16.82,15.50,-7.9   ,23.02,21.50,-6.6   
,,,,(1.48),(1.38),,(2.43),(2.33),
Monthly,,,48000,19.32,17.65,-8.6***,21.68,19.69,-9.2***
,,,,(0.47),(0.45),,(0.57),(0.55),
,F,F,2574,78.64,63.56,-19.2***,87.64,73.09,-16.6***
,,,,(5.02),(4.42),,(5.89),(5.28),
,F,T,1964,21.89,19.70,-10.0*  ,24.63,21.33,-13.4** 
,,,,(1.99),(1.88),,(2.67),(2.38),
,T,F,21613,23.60,22.27,-5.6** ,26.57,24.78,-6.8***
,,,,(0.72),(0.75),,(0.91),(0.94),
,T,T,21849,7.85,7.49,-4.7*  ,8.81,8.23,-6.6** 
,,,,(0.36),(0.36),,(0.41),(0.40),
Weekly,,,359,8.81,5.55,-37.0***,6.47,5.95,-8.0   
,,,,(1.40),(0.99),,(0.86),(1.13),
,F,F,54,13.18,10.50,-20.4   ,9.50,7.51,-21.0   
,,,,(3.05),(4.09),,(2.27),(1.67),
,F,T,3,2.72,1.85,-32.1   ,0.81,0.67,-18.0   
,,,,(2.09),(1.47),,(0.80),(0.64),
,T,F,257,8.81,5.15,-41.5***,6.39,6.35,-0.7   
,,,,(1.81),(1.06),,(1.06),(1.53),
,T,T,45,4.01,2.14,-46.8   ,3.61,2.12,-41.2   
,,,,(1.99),(0.91),,(1.65),(0.84),
Daily,,,4227,1.62,1.56,-3.5   ,2.11,2.15,1.7   
,,,,(0.33),(0.37),,(0.51),(0.54),
,F,F,226,2.71,3.98,47.1   ,4.05,4.36,7.6   
,,,,(2.33),(3.73),,(3.53),(4.01),
,F,T,19,0.39,0.43,10.8   ,0.33,0.42,26.5   
,,,,(0.19),(0.24),,(0.18),(0.21),
,T,F,3535,0.89,0.71,-19.3*  ,0.89,0.77,-13.4*  
,,,,(0.22),(0.19),,(0.23),(0.22),
,T,T,447,6.94,7.11,2.5   ,10.92,12.05,10.3** 
,,,,(2.29),(2.45),,(4.07),(4.31),
Hourly,,,414,12.71,8.55,-32.7***,53.11,45.62,-14.1   
,,,,(2.27),(1.47),,(11.36),(12.16),
,F,F,1,0.24,0.09,-60.4   ,0.06,0.02,-56.3   
,,,,( NA),( NA),,( NA),( NA),
,F,T,125,29.67,17.97,-39.4***,90.33,59.04,-34.6***
,,,,(6.65),(3.89),,(21.18),(15.35),
,T,F,5,2.12,2.70,27.1   ,1.56,1.86,18.6   
,,,,(1.93),(2.54),,(1.30),(1.49),
,T,T,283,5.45,4.53,-16.8   ,37.77,40.63,7.6   
,,,,(1.36),(1.22),,(13.64),(16.44),
All,,,100000,27.51,23.94,-13.0***,31.99,28.60,-10.6***
,,,,(0.52),(0.47),,(0.71),(0.68),
